casino_name,website_url,accepted_crypto,bonus_percentage,bonus_max_amount_in_euro,max_bonus_value,free_spins,bonus_type,logo_path,player_rating,casino_rating,pros_path,cons_path,review_path
Rizz Casino,https://rizzcasino.com/,"₿, Ξ, Ł, ₮",100%,€500.0,€500,100,1st Deposit Bonus,casino_logos/rizz_casino.webp,0.0,7.1,pros/rizz_casino.txt,cons/rizz_casino.txt,review/rizz_casino.txt
GreatSpin Casino,https://www.greatspin.com,₿,100%,€1000.0,€1000,50,1st Deposit Bonus,casino_logos/greatspin_casino.webp,10.0,7.1,pros/greatspin_casino.txt,cons/greatspin_casino.txt,review/greatspin_casino.txt
Zotabet Casino,https://www.zotabet.com,"₳, ℬ, ₿, Ƀ, Ð, Ξ, Ł, ✕, τ, ₮",100%,€100000.0,€100000,100,Welcome Bonus,casino_logos/zotabet_casino.webp,6.5,7.1,pros/zotabet_casino.txt,cons/zotabet_casino.txt,review/zotabet_casino.txt
Cosmobet Casino,https://www.cosmobet.com,₿,150%,€500.0,€750,0,1st Deposit Bonus,casino_logos/cosmobet_casino.webp,9.0,7.1,pros/cosmobet_casino.txt,cons/cosmobet_casino.txt,review/cosmobet_casino.txt
JackpotFrenzy Casino,https://jackpotfrenzy.com/en/,"ℬ, ₿, Ð, Ξ, Ł, τ, ₮",100%,€500.0,€500,200,Other,casino_logos/jackpotfrenzy_casino.webp,5.5,7.1,pros/jackpotfrenzy_casino.txt,cons/jackpotfrenzy_casino.txt,review/jackpotfrenzy_casino.txt
Nitrobet Casino,https://nitrobetcasino.com/,"₿, Ð, Ξ, Ł, τ, ₮",150%,€500.0,€750,100,1st Deposit Bonus,casino_logos/nitrobet_casino.webp,0.0,6.5,pros/nitrobet_casino.txt,cons/nitrobet_casino.txt,review/nitrobet_casino.txt
Horus Casino,http://www.horuscasino.com,"₿, Ξ, Ł, ✕",100%,€200.0,€200,25,1st Deposit Bonus,casino_logos/horus_casino.webp,7.1,7.1,pros/horus_casino.txt,cons/horus_casino.txt,review/horus_casino.txt
Wir Wetten Casino,https://www.wirwetten.com/en/casino,₿,100%,€500.0,€500,0,Other,casino_logos/wir_wetten_casino.webp,7.7,7.1,pros/wir_wetten_casino.txt,cons/wir_wetten_casino.txt,review/wir_wetten_casino.txt
QuickSlot Casino,https://www.quickslot.com/,"₿, Ƀ, Ξ, Ł",200%,€1000.0,€2000,0,Welcome Bonus,casino_logos/quickslot_casino.webp,1.0,7.1,pros/quickslot_casino.txt,cons/quickslot_casino.txt,review/quickslot_casino.txt
ProntoBet Casino,https://www.prontobet.com/en/casino,"₿, Ƀ, Ð, Ξ, Ł, τ, ₮",200%,€2000.0,€4000,0,Welcome Bonus,casino_logos/prontobet_casino.webp,0.0,7.1,pros/prontobet_casino.txt,cons/prontobet_casino.txt,review/prontobet_casino.txt
OSH Casino,https://oshcasino.com/,"₿, Ð, Ξ, Ł, τ, ₮",100%,€300.0,€300,60,1st Deposit Bonus,casino_logos/osh_casino.webp,0.0,7.0,pros/osh_casino.txt,cons/osh_casino.txt,review/osh_casino.txt
Bitsler Casino,https://www.bitsler.com,"₳, ℬ, ₿, Ƀ, Ð, Ξ, Ł, ✕, τ, ₮, ₵",200%,€2000.0,€4000,500,Other,casino_logos/bitsler_casino.webp,8.6,7.5,pros/bitsler_casino.txt,cons/bitsler_casino.txt,review/bitsler_casino.txt
Jackbit Casino,https://jackbit.com,"ℬ, ₿, Ƀ, Ð, Ξ, Ł, ɱ, ✕, τ, ₮, ₵",-,-,-,100,Other,casino_logos/jackbit_casino.webp,9.3,7.8,pros/jackbit_casino.txt,cons/jackbit_casino.txt,review/jackbit_casino.txt
Pan-Casino,https://pan-casino.com/en,₿,100%,€1000.0,€1000,0,1st Deposit Bonus,casino_logos/pan-casino.webp,8.0,7.1,pros/pan-casino.txt,cons/pan-casino.txt,review/pan-casino.txt
Riviera Casino,https://www.rivieracasino.com/,"₿, Ƀ, Ξ, Ł, ₮",100%,€500.0,€500,50,1st Deposit Bonus,casino_logos/riviera_casino.webp,0.0,6.7,pros/riviera_casino.txt,cons/riviera_casino.txt,review/riviera_casino.txt
LyraCasino,https://www.lyracasino.com/,"₳, ₿, Ƀ, Ð, Ξ, Ł, ✕, τ, ₮",200%,€10000.0,€20000,0,Welcome Bonus,casino_logos/lyracasino.webp,0.0,7.0,pros/lyracasino.txt,cons/lyracasino.txt,review/lyracasino.txt
Jacktop Casino,https://jacktop.com,₿,100%,€500.0,€500,100,1st Deposit Bonus,casino_logos/jacktop_casino.webp,8.9,7.0,pros/jacktop_casino.txt,cons/jacktop_casino.txt,review/jacktop_casino.txt
